question,answer
What is procedure for security refund?,Only Write a Simple application to the Convener Admission Committee or provide a Copy of Clearance Form for Fee Refund to Dues Section.
What documents are required for security refund?,Copy of Clearance Form.
Where to submit form for security refund?,Dues Section.
What if I lost my challan?,Contact Dues Section
How to apply for entry test?,"To apply for entry test
1. visit admission.uet.edu.pk
2. Register yourself by entering your CNIC/B form and Token number(to be obtained from nominated branches of HBL)
3. Fill your bio data and academic information, and choose your test centre with other details and upload your picture
card"
What is website to apply for entry test?,"Log on to admission.uet.edu.pk for admission at UET, Lahore"
How to fill entry test form online?,"1. To apply for entry test,
2. visit admission.uet.edu.pk
3. Register yourself by entering your CNIC/B form and Token number
4. Fill your bio data and academic information, and choose your test centre with other details and upload your picture
5. take the print of entry test slip and bring it on test day with any original document like( matric/first   year result card/domicile/ID card) which have your picture on it"
"I am appearing for entry test at main campus, does it mean I will get admission at main campus?","You will be considered for admission according to your selected preference order, location for entry test centre does not matter"
"for admission at other campuses, where to give entry test?","You can select any centre offered by UET, Lahore to appear in entry test. You can select the campus of your choice at the time of applying for admission online. Location for entry test centre does not matter"
"I want to take admission at KSK, FSD, Narowal , Rachna. Do I have to appear at same campus where I want to get admission?","You can select any centre offered by UET, Lahore to appear in entry test. You can select the campus of your choice at the time of applying for admission online. Location for entry test centre does not matter"
I have registered for entry test with wrong ID card number. What can I do now?,"Please contact Convener Officer UET, Lahore 042-99029452, 042-99029216 to correct your CNIC number"
"I have registered for entry test with my father ID card number, what can I do now?","Please contact Convener Officer UET, Lahore 042-99029452, 042-99029216 to correct your CNIC number"
"I have registered for entry test with wrong ID card number, what can I do now?","Please contact Convener Officer UET, Lahore 042-99029452, 042-99029216 to correct your CNIC number"
I am unable to apply for admission because I have registered with wrong ID card number. What can I do now?,"Please contact Convener Officer UET, Lahore 042-99029452, 042-99029216 to correct your CNIC number"
"System does not allow me to login, what can I do now?","Please contact Convener Officer UET, Lahore 042-99029452, 042-99029216"
"System is not allowing me to login, what can I do now? ","Please contact Convener Officer UET, Lahore 042-99029452, 042-99029216"
I am not able to upload my picture what to do now? ,"Please make sure that your picture size is less than 1 MB and format of picture is jpg, jpeg and png. 
Picture must be 100 dpi."
"My picture is not uploading, what to do now? (hint max picture, file type","Please make sure that your picture size is less than 1 MB and format of picture is jpg, jpeg"
In which format can I upload picture?,"format of picture is jpg, jpeg, png"
What is maximum size to upload picture?,Maximum size of picture is 1 MB
Can resident of Lahore apply for hostel allotment?,"Resident of Lahore cannot apply for hostel facility at UET, Lahore"
Why LMS is not allowing me to apply for hostel allotment?,"Resident of Lahore cannot apply for hostel facility at UET, Lahore, for further information contact Senior Warden office"
"I have given address of Lahore at the time of admission, now I am unable to apply for hostel, how can I change my address?","To change your district at LMS, please contact Examinations Branch by bringing your original Domicile/CNIC, Admin Block 042-99029235"
"I am unable to apply for hostel due to address of Lahore, but I belong to other city, what is procedure to change address on LMS?","To change your district at LMS, please contact Examinations Branch by bringing your original Domicile/CNIC, Admin Block 042-99029235"
I want to change my entry test center; how can I do that?,Change of Entry test centre is not allowed
How can I change entry test center?,Change of Entry test centre is not allowed
What documents are required to appear for entry test?,take the print of entry test slip and bring it on test day with any original document like( matric/first year result card/domicile/ID card) which have your picture on it
"My result is stopped due to not showing document with picture, how can I check my result?","Please visit Convener Office 042-99029452, 042-99029216, Admin Block by bringing your CNIC/Matric/Inter/Domicile to unblock your entry test result"
Can I appear without documents in entry test?,Print of entry test slip and any original document showing your picture is required to appear for entry test
"My result is wrong on UET website, how to correct it?","Please contact Convener Officer UET, Lahore 042-99029452, 042-99029216"
I have matched keys online; my total marks are not correct on UET website?,"Please contact Convener Officer UET, Lahore 042-99029452, 042-99029216 to rectify your entry test result"
How can I check my entry test result online?,"To check your entry test online, visit admission.uet.edu.pk and enter your CNIC, entry test roll no. and date of birth"
"I want to check my entry test result, how can I check it?","To check your entry test online, visit admission.uet.edu.pk and enter your CNIC, entry test roll no. and date of birth"
What are passing marks of entry test?,There are no passing marks for entry test. Aggregate of student's entry test marks 30% and Intermediate/A level marks 70% is computed and merit is calculated.
What are minimum marks to pass entry test?,There are no passing marks for entry test. Aggregate of student's entry test marks 30% and Intermediate/A level marks 70% is computed and merit is calculated.
How to apply for admission?,"Purchase prospectus from HBL or any other nominated locations.
1. go to UET Admission website admission.uet.edu.pk
2. Click apply for admission
3. Register yourself by entering your CNIC, Entry Test roll No. and date of birth
4. Fill the admission form by entering your Bio Data (mother name, income etc left over fields) and Academic details
5. Select the preference, be careful while selecting the order of preference"
What documents are required to apply for admission?,"Following documents are required to apply for admission, these are also mentioned at the end of the Prospectus
1. CNIC/B Form copy
2. Intermediate result card copy
3. Domicile copy
4. Print of online filled admission form
5. Undertaking"
"I don’t have domicile at this time, can I apply for admission?",6. Form attached in prospectus
"Some documents are missing, can I apply for admission?","Domicile is compulsory for admission at UET, Lahore"
"Without equivalence certificate, how can I calculate my A level/intermediate/FSC marks?",You cannot apply for admission without submitting all required documents
Is equivalence certificate compulsory to get admission at UET Lahore?,https://www.ibcc.edu.pk/equivalence-detail.php
I don’t have equivalence certificate; how can I calculate my aggregate?,Equivalence certificate is compulsory for students of A level/foreign countries
How can I change my preference?,calculate equivalence from the mention website https://www.ibcc.edu.pk/equivalence-detail.php
Can I change my preference after submission of form?,"Change of preference is not allowed, However, after displaying 4th merit list……… but not sure this will be the decision of authority."
How many preferences can I select?,"Change of preference is not allowed, However, after displaying 4th merit list……… but not sure this will be the decision of authority."
Can I select multiple preferences?,"There is no limit of number of preferences, you can select any number of preferences"
"I have selected wrong preference, can I change it?","yes, There is no limit of number of preferences, you can select any number of preferences"
"I have applied online for admission but did not submit hard copy at UET, will I get admission","Change of preference is not allowed, However, after displaying 4th merit list……… but not sure this will be the decision of authority."
Is it compulsory to submit hard copy/documents for admission?,"Submission of hard copies and dues is compulsory within time limit, otherwise your name will not be considered"
Can I send hard copies through courier?,"Submission of hard copies and dues is compulsory within time limit, otherwise your name will not be considered"
Can I send hard copies through post/Dak/ TCS etc.?,"You can only submit hard copies by hand at UET, Lahore, not allowed through courier"
Can I TCS hard copies?,"You can only submit hard copies by hand at UET, Lahore, not allowed through courier"
"I have appeared in entry test but did not apply for admission, how can I apply for admission now?","You can only submit hard copies by hand at UET, Lahore, not allowed through courier"
Why My name did not appear in merit list?,"After entry test, student need to apply for admission online, otherwise his name will not be considered for admission"
"I forgot to apply for admission, what can I do now?","There may be following reasons due to which your name did not appear in merit list
1. Your aggregate is lower than the merit
2. you did not submit hard copies and dues
3. you did not apply for admission after entry test"
"I did not pay fee for admission, due to which my name is excluded from merit list, how can I pay fee now?","After entry test, student need to apply for admission online, otherwise his name will not be considered for admission"
How many merit lists are prepared/displayed at UET?,"Yes, Name will be exluded from next merit list
After entry test, student need to apply for admission online and have to pay dues within time, otherwise his name will not be considered for admission"
When first merit list will be displayed?,"Usually 4 merit lists are prepared/displayed at UET, Lahore, however they may change"
When second merit list will be displayed?,"1st merit list will be displayed on …..
Date of display of merit lists is also mentioned in Prospectus"
When third merit list will be displayed?,"2nd merit list will be displayed on …..
Date of display of merit lists is also mentioned in Prospectus"
When fourth merit list will be displayed?,"4th merit list will be displayed on …..
Date of display of merit lists is also mentioned in Prospectus"
"Merit list is uploaded but System does not allow me to login, what can I do now?(Hint wrong ID card number etc.","Please make sure that you have entered correct details like CNIC, date of birth and entry test roll No. etc, in case of any issue Please visit Convener Office 042-99029452, 042-99029216, Admin Block"
"I am unable to check my list , what can I do now? (Hint wrong ID card number etc.","Please make sure that you have entered correct details like CNIC, date of birth and entry test roll No. etc, in case of any issue Please visit Convener Office 042-99029452, 042-99029216, Admin Block"
Where can I check merit list?,You can check your merit list at admission.uet.edu.pk
How can I check merit list?,"You can check your merit list at admission.uet.edu.pk by entering your CNIC, date of birth and entry test roll no."
"My name is appeared in merit list, but I don’t have dues to pay fee, how can I get admission?","Submission of dues and documents are compulsory within time limit, otherwise your name will not be considered"
"I have qualified for merit list, but I don’t have dues to pay fee, how can I get admission?","Submission of dues and documents are compulsory within time limit, otherwise your name will not be considered"
"I have qualified for merit list, but I don’t have dues, can I get relaxation in dues?","Submission of dues is compulsory within time limit, otherwise your name will not be considered, no relaxation is granted in dues"
"My name appeared in merit list, but I don’t have required documents, what can I do now?","Required documents are compulsory for admission, you cannot apply without the required documents"
"I have qualified for merit list, but I don’t have required documents, what can I do now?","Required documents are compulsory for admission, you cannot apply without the required documents"
"My name appeared in upper preference, I want to take admission in lower preference, will my name be considered in lower preference?",Downgrading will be allowed after 4th merit list
"I want to take admission in lower preference, will my name be considered automatically in lower preference?",Downgrading will be allowed after 4th merit list
Can I change my preference?,Change of preference is not allowed
What is procedure to change preference?,System will allow to submit 2 prefernces after 4th merit list. This submission is online in admission website
Can I revert my preference ?,no
Can I move to my previous preference again?,no
"If my name does not appear in new merit list after changing preference, will I be considered for previous preference?","Yes, he will be in previous discipline. Student just recheck his/her status from admission website"
How many merit lists are displayed after changing the preference?,Final Status is displayed on admission.uet.edu.pk where student can see his last status.
Can I swap department?,"This will be on authority decision. 
Student will submit manually application to Student Section"
Can I change department?,"This will be on authority decision. 
Student will submit manually application to Student Section"
Can I pay admission fee in installments?,Payment of admission fee in installments is not allowed
How to apply for admission at reciprocal seat?,"Only students having Punjab domiciled can apply. Rs. 1500/= fee will be charged paid in the HBL UET, Branch, as admission form fee, for all seats reserved in other provinces. No prospectus required."
Who can apply for admission at reciprocal seat?,Only Punjab residents can apply for these seats.
When to apply for admission at reciprocal seat?,"During the regular Admission Process, almost in September."
What is procedure for admission at reciprocal seat?,"Download a form from UET admission portal, attached required documents mentioned on the form and submit the form in students’ section at window # 6."
How to get original documents back from student section?,"B.Sc students can take back their original documents after 2 years. However, before this time student can take their docs after submitting an application in DR SS office by retaining any original CNIC form their family."
From where I can get back the original documents,From Students Section at 2:30 to 3:00 pm.
What is procedure to get original documents back?,"B.Sc students can take back their original documents after 2 years. However, before this time student can take their docs after submitting an application in DR SS office by retaining any original CNIC form their family."
"Migration is allowed at postgraduate level at UET, Lahore?","Students can migrate anywhere from UET, but cannot migrate to UET, Lahore."
What is procedure for migration?,Migration form is available at UET site. Terms and conditions are mention there.
"Migration is allowed at undergraduate/B.Sc/Bachelors level at UET, Lahore?","Yes. Students can migrate anywhere from UET, but cannot migrate to UET, Lahore."
"Can I apply for migration at UET, Lahore?","Students can migrate anywhere from UET, but cannot migrate to UET, Lahore."
What documents are required for migration?,See the from at UET WEB SITE.
Is it compulsory to submit or deposit fee in university bank?,Yes.
Can we submit or deposit fee even we have missed any document?,Yes.
How we can or will UpToDate to himself with new updates?,From UET Admission Portal.
Can submit bay-form in replacement of NIC?,No
What’s if final transcript is late then we can apply for admission?,"Yes, conditionally."
Where we will submit documents to apply for admission?,In the respective department for postgraduate and for undergraduate in the students section
What is the procedure after if admission is finalized?,"Submit required documents in the student’s section, then go to department and get registration number."
Where we will submit documents after admission?,In the student’s section.
Can we see past papers against any subjects on anywhere i.e UET website or on teacher profile?,No
Is it compulsory to submit documents in hard form?,Yes
Can we submit documents online?,No
What is the admission process?,See the Admission Portal UET website.
What is ruled to pass degree with honor? ,"Minimum of 3.7 CGPA having no F, WF, W grade"
What is rule for grade change before declaration of result? ,Contact to concerned teacher.  
What is rule for grade change after declaration of result ?,"Apply on grade change form with genuine reason, request will be approved through teacher, Chairman and Dean."
What is rule for transfer of credits for migrated students?,Minimum of 40% marks or C grade . 
What is rule for transfer of credits for double degree program?,Minimum of 40% marks or C grade. 
How to apply for W grade?,Apply on a form for W grade within 6 weeks after the start of the semester. 
How to apply for I grade?,"Contact with concerned teacher, I grade can be awarded only for genuine reasons like medical or any other genuine reason that may seem fit by the teacher. However, minimum of 50 % attendance is required to qualify for I grade."
How to clear I grade?,"I grade can be cleared till the end of following next semester, it’s the responsibility of the student to contact with teacher to clear the I grade by fulfilling the left-over portion."
What if my attendance is short in subject?,"In case of attendance being less than 75%, the student may be awarded WF grade, However student can apply for 10% relaxation to Dean to allow attendance till 65%."
What is rule for merit certificate?,Student should be from top 5% of the class having degree with honors with other conditions. 
What is rule for medals?,Its confidential J
What is minimum CGPA required to qualify for medal?,Degree with honors with other  conditions. 
What is minimum CGPA required for Deans Honors role certificate?,Minimum of 3.7 GPA in a semester. 
Will exchange programs courses get credits transferred to UET.?,"Yes, if department gives written permission, transferred subject’s contents should match the subject taught at UET. "
What are minimum marks required to transferred credits to UET for exchange programs?,Department decides. 
Is there any way to register more than allowed credit hours?,No. 
What is rule for re-admission?,"Undergraduate students can get re-admission if they fail to maintain minimum 2.000 CGPA, if postgraduate students don’t complete their degree within prescribed time period, they may get re-admission within 5 years. Their passed subjects will be transferred."
Who leads to convocation?,Examinations Branch in cooperation with Registrar office and departments.
After how many years’ convocation is held?,There is not exact time frame but usually it is held after every year in November/December.
Will our credit hours accommodate if we migrate?,Yes. 
What is the process to freeze semester? ,Apply  on semester freeze form at least 15 days before start of semester.
How I can enroll myself in convocation? ,Students can enroll for convocation online on LMS before the start of convocation.
What is the process to join convocation?,Students can enroll for convocation online on LMS before the start of convocation.
Can we register more than three subjects in MS?,Maximum 4 subjects are allowed to register in postgraduate programs i.e MS/Ph.D/M.Phil/MBA/M.Sc in any semester.
How many maximum credit hours we can register in MS first semester?,Maximum 4 subjects are allowed to register in postgraduate programs i.e MS/Ph.D/M.Phil/MBA/M.Sc in any semester.
Where is National Library? ,Opposite to Lecture Theatre. 
Can we Enroll in summer camps?,"Yes, usually undergraduate students can enroll in summer school, department may arrange summer school for postgraduate students is necessary"
Who can enroll in summer camps?,Any student can enroll. 
Which grade we can improve?,"Any grade can be enrolled for improvement, there is no restriction. "
Are you real?,"No, I'm a software. "
What is your name?,ALIZA
How old are you?,Are you going to make my ID Card?
Where do you live?,In this computer
How can you help me?,By answering your question related to UET Admin Information
Which languages do you speak?,English
How are you? Are you doing ok?,I am feeling great. What about you???
What time is it?,
What are your hobbies?,To help people find answers
What do you look like?,I have never seen Myself
What’s your expertise?,To Answer Question 
What do you like to eat?,Electricity :p
